Dog breed,category,popularity ranking,Intelligence ranking,Intelligence category,Life expectancy,Average price,Price bracket,Food per lifetime,Size category,Cuteness rating 
Affenpinscher,toy,139,37,Above average,11.42,510,budget,3270.92,small,4
Afghan Hound,hound,88,80,Lowest,11.92,890,mid-price,7468.4,large,2
Airedale Terrier,terrier,55,29,Above average,11.45,732.5,mid-price,no data,medium,4
Akita,working,47,54,Average,10.16,1201.5,mid-price,6365.69,large,2
Alaskan Malamute,working,58,50,Average,10.67,1209.5,mid-price,6685.22,large,3
American English Coonhound,hound,33,no data,no data,no data,283.33,budget,no data,large,2
American Eskimo Dog,non-sporting,116,no data,no data,no data,560,budget,no data,small,3
American Foxhound,hound,173,46,Average,no data,757.14,mid-price,no data,medium,3
American Staffordshire Terrier,terrier,72,34,Above average,no data,1043,mid-price,no data,medium,1
American Water Spaniel,sporting,157,44,Average,no data,730,mid-price,no data,medium,3
Anatolian Shepherd Dog,working,111,no data,no data,10.75,685.11,budget,6735.35,large,3
Australian Cattle Dog,herding,60,10,Brightest,11.67,530,budget,4804.88,medium,2
Australian Shepherd,herding,24,42,Average,12.28,565,budget,5056.03,medium,3
Australian Terrier,terrier,121,34,Above average,11.05,640,budget,3164.94,small,4
Basenji,hound,93,79,Lowest,13.58,940,mid-price,3889.58,medium,3
Basset Hound,hound,41,71,Lowest,11.43,489.5,budget,3273.78,small,5
Beagle,hound,3,73,Lowest,12.3,287.5,budget,3522.97,small,5
Bearded Collie,herding,112,34,Above average,12.77,675,budget,5257.78,medium,5
Beauceron,herding,144,no data,no data,no data,966.67,mid-price,no data,large,2
Bedlington Terrier,terrier,134,40,Average,13.51,1058.33,mid-price,3869.53,small,2
Belgian Malinois,herding,74,22,Excellent,no data,1080,mid-price,no data,large,3
Belgian Shepherd Dog,herding,118,15,Excellent,no data,1200,mid-price,no data,large,3
Belgian Shepherd Dog (Tervuren),herding,108,14,Excellent,10.6,1070,mid-price,4364.33,large,3
Bernese Mountain Dog,working,34,22,Excellent,7.56,1320,mid-price,4736.67,large,4
Bichon Frise,non-sporting,39,45,Average,12.21,692.5,budget,3497.19,small,6
